exercise,n,mae,rmse,r2,pcc
E0,156,0.3779516816139221,0.4813045561313629,0.620842802037988,0.857800033204451
E1,110,0.3600040674209595,0.5402936935424805,0.5730685624211935,0.8873889822551352
E2,86,0.2559761106967926,0.3586256802082062,0.8147999581087274,0.9039638084884147
E3,107,0.8463847041130066,0.9330999255180359,-0.9259679737540982,0.41046609374182785
E4,98,0.6153101921081543,0.6658375263214111,0.2218585675232465,0.8193006029315452
E5,108,0.3432575464248657,0.4539967477321625,0.3575765665782611,0.695806398878754
E6,105,0.17921346426010132,0.35912585258483887,0.6978804162193204,0.8491158127572677
E7,107,0.4071285128593445,0.5864369869232178,-0.21077083100153415,0.36631919990391887
E8,107,0.27340564131736755,0.47473984956741333,0.6495823024664787,0.8070927194603612
E9,62,0.18202021718025208,0.2294754683971405,-0.5680588551915284,-0.2217927047013299
